


Santos;Palmeiras;6;1;2021-09-21 13:33:50
América-MG;Fortaleza;3;5;2021-07-23 02:01:57
São Paulo;Santos;1;2;2021-12-14 02:17:01
Fluminense;Corinthians;3;6;2021-08-05 05:34:16
Juventude;Corinthians;2;3;2021-05-01 19:15:17
Athletico-PR;Internacional;5;6;2021-09-16 00:41:21
Grêmio;Fortaleza;6;4;2021-07-04 11:02:21

Santos;Palmeiras;6;1;2021-09-21 13:33:50
América-MG;Fortaleza;3;5;2021-07-23 02:01:57
São Paulo;Santos;1;2;2021-12-14 02:17:01
Fluminense;Corinthians;3;6;2021-08-05 05:34:16
Juventude;Corinthians;2;3;2021-05-01 19:15:17
Athletico-PR;Internacional;5;6;2021-09-16 00:41:21
Grêmio;Fortaleza;6;4;2021-07-04 11:02:21

Santos;Palmeiras;6;1;2021-09-21 13:33:50
América-MG;Fortaleza;3;5;2021-07-23 02:01:57
São Paulo;Santos;1;2;2021-12-14 02:17:01
Fluminense;Corinthians;3;6;2021-08-05 05:34:16
Juventude;Corinthians;2;3;2021-05-01 19:15:17
Athletico-PR;Internacional;5;6;2021-09-16 00:41:21
Grêmio;Fortaleza;6;4;2021-07-04 11:02:21

Santos;Palmeiras;6;1;2021-09-21 13:33:50
América-MG;Fortaleza;3;5;2021-07-23 02:01:57
São Paulo;Santos;1;2;2021-12-14 02:17:01
Fluminense;Corinthians;3;6;2021-08-05 05:34:16
Juventude;Corinthians;2;3;2021-05-01 19:15:17
Athletico-PR;Internacional;5;6;2021-09-16 00:41:21
Grêmio;Fortaleza;6;4;2021-07-04 11:02:21

Santos;Palmeiras;6;1;2021-09-21 13:33:50
América-MG;Fortaleza;3;5;2021-07-23 02:01:57
São Paulo;Santos;1;2;2021-12-14 02:17:01
Fluminense;Corinthians;3;6;2021-08-05 05:34:16
Juventude;Corinthians;2;3;2021-05-01 19:15:17
Athletico-PR;Internacional;5;6;2021-09-16 00:41:21
Grêmio;Fortaleza;6;4;2021-07-04 11:02:21

Santos;Palmeiras;6;1;2021-09-21 13:33:50
América-MG;Fortaleza;3;5;2021-07-23 02:01:57
São Paulo;Santos;1;2;2021-12-14 02:17:01
Fluminense;Corinthians;3;6;2021-08-05 05:34:16
Juventude;Corinthians;2;3;2021-05-01 19:15:17
Athletico-PR;Internacional;5;6;2021-09-16 00:41:21
Grêmio;Fortaleza;6;4;2021-07-04 11:02:21



















